index,capability_id,capability,layer_ids,layers,obligation,activation,primary_mandatory_reference,v3_profile_overlays,authority_owners,design_conformance,runtime_conformance,evidence_status,promotion_state,required_positive_test,required_negative_test,evidence_requirement,rollback_requirement,source_decision_ids,source
0,CAP-001,Host/Foundation,1,Host & Foundation,MANDATORY,ALWAYS_ON/GATE,"Kubuntu 26.04, systemd, cgroup v2, numactl",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-ACTIVATION-SOLVER; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-CPU-NUMA; PROFILE-IRQ-LOCALITY; PROFILE-MEMORY-COMPACTION; PROFILE-BOOT-INITRAMFS; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-HOST-LIFE; AUTH-POLICY,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-001-POS,AT-CAP-001-NEG,EVID-CAP-001-CURRENT-HOST,ROLLBACK-CAP-001,DEC-CAP-001; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-005; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-HOST-001; FA3-HOST-002; FA3-HOST-003; FA3-HOST-004; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
1,CAP-002,Network/Edge,1,Host & Foundation,MANDATORY,ALWAYS_ON,nftables; AdGuard Home + dnscrypt-proxy + Unbound; Caddy conditional edge,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-XLIO-VMA; PROFILE-AISTORE; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-HOST-LIFE; AUTH-POLICY,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-002-POS,AT-CAP-002-NEG,EVID-CAP-002-CURRENT-HOST,ROLLBACK-CAP-002,DEC-CAP-002; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-NET-001; FA3-DATA-002; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
2,CAP-003,Identity/Policy/Secrets,3,"Trust, Security & Recovery",MANDATORY,ALWAYS_ON/GATE,"OPA, systemd credentials, Infisical adapter",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-GUARDRAILS; PROFILE-CONTAINER-SECURITY; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-POLICY; AUTH-SECRETS; AUTH-IDENTITY; AUTH-OBS,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-003-POS,AT-CAP-003-NEG,EVID-CAP-003-CURRENT-HOST,ROLLBACK-CAP-003,DEC-CAP-003; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AI-002; FA3-SEC-001; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
3,CAP-004,Data/Event/Workflow,4,"Data, Event & Contract",MANDATORY,ALWAYS_ON,"PostgreSQL, Temporal, Valkey; NATS policy szerint",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-DURABLE; AUTH-CATALOG; AUTH-REGISTRY,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-004-POS,AT-CAP-004-NEG,EVID-CAP-004-CURRENT-HOST,ROLLBACK-CAP-004,DEC-CAP-004; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
4,CAP-005,Model & Backend Fabric,5,"Unified AI Gateway, Model & Memory",MANDATORY,ALWAYS_ON,canonical Gateway/Runtime APIs; LiteLLM primary route; TurboLLM adapter; llama.cpp/Ollama engines,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-FAIRSEQ; PROFILE-LLAMACPP; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE; PROFILE-MOZILLA-AI-INTEGRATION; PROFILE-MOZILLA-PROVIDER-DISPOSITION,AUTH-AI-ROUTING; AUTH-REGISTRY; AUTH-MEMORY; AUTH-RESOURCE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-005-POS,AT-CAP-005-NEG,EVID-CAP-005-CURRENT-HOST,ROLLBACK-CAP-005,DEC-CAP-005; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AI-003; GC-11; FA3-REG-001; FA3-REG-002; FA3-REG-003; FA3-MOZ-001; FA3-MOZ-PROV-001,v2.0.20 §15 + v3.0.11 overlays
5,CAP-006,Resource Fabric,2,"Resource, Storage & Lifecycle",MANDATORY,ALWAYS_ON,Resource/GPU/KV Runtime Broker,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-ACTIVATION-SOLVER; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-CPU-NUMA; PROFILE-IRQ-LOCALITY; PROFILE-MEMORY-COMPACTION; PROFILE-GPU-ROLES; PROFILE-XLIO-VMA; PROFILE-AISTORE; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-RESOURCE; AUTH-HOST-LIFE; AUTH-REGISTRY,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-006-POS,AT-CAP-006-NEG,EVID-CAP-006-CURRENT-HOST,ROLLBACK-CAP-006,DEC-CAP-006; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-005; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-HOST-001; FA3-HOST-002; FA3-HOST-003; FA3-HOST-005; FA3-NET-001; FA3-DATA-002; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
6,CAP-007,Agent Runtime,6,Agent Orchestration & Harness,MANDATORY,ALWAYS_ON + JOB,"Orchestrator, Temporal workers, Coworker principles",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-ENGINEERING-HARNESS; PROFILE-AGENT-INTEROP; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE; PROFILE-MOZILLA-AI-INTEGRATION; PROFILE-AGENT-OPERABLE-SURFACE; PROFILE-MOZILLA-PROVIDER-DISPOSITION,AUTH-DURABLE; AUTH-POLICY; AUTH-RESOURCE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-007-POS,AT-CAP-007-NEG,EVID-CAP-007-CURRENT-HOST,ROLLBACK-CAP-007,DEC-CAP-007; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-ENG-001; GC-01; FA3-REG-001; FA3-REG-002; FA3-REG-003; FA3-MOZ-001; FA3-MOZ-AAF-001; FA3-MOZ-PROV-001,v2.0.20 §15 + v3.0.11 overlays
7,CAP-008,Agent Workspace,11,Desktop Experience & Operations UX,MANDATORY,SESSION,Goose primary runtime; OpenWork/Desktop Console; Terax conditional; OpenYak excluded,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-DESKTOP-CONSOLE; PROFILE-ASSISTANT; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-POLICY; AUTH-HUMAN,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-008-POS,AT-CAP-008-NEG,EVID-CAP-008-CURRENT-HOST,ROLLBACK-CAP-008,DEC-CAP-008; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-DESKTOP-001; GC-10; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
8,CAP-009,Deliberation,6,Agent Orchestration & Harness,MANDATORY,JOB,"Council Service, llm-council REF",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-DURABLE; AUTH-POLICY; AUTH-RESOURCE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-009-POS,AT-CAP-009-NEG,EVID-CAP-009-CURRENT-HOST,ROLLBACK-CAP-009,DEC-CAP-009; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
9,CAP-010,Memory/Knowledge/RAG,5,"Unified AI Gateway, Model & Memory",MANDATORY,ALWAYS_ON,"Unified Memory Gateway, PostgreSQL/pgvector, Obsidian indexer; AnythingLLM RAG projection",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-OPENVIKING; PROFILE-SURFSENSE; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-AI-ROUTING; AUTH-REGISTRY; AUTH-MEMORY; AUTH-RESOURCE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-010-POS,AT-CAP-010-NEG,EVID-CAP-010-CURRENT-HOST,ROLLBACK-CAP-010,DEC-CAP-010; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AI-001; GC-02; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
